sep=;
RegNumber;Comp;Pos;Lap;LapTime;RaceTime;LapStat;SessNumber;Driver
4;MKA GIRLS+1;1;1;32252;34821;;1;Петров Дмитрий
6;CRAZYTRAIN;2;1;32190;35222;;1;Шамаев Дмитрий
3;CEAT;3;1;32142;42077;;1;Кузнецов Антон
7;PHOENIX RT;4;1;32386;66139;;1;Басов Иван
2;PATYSSON;5;1;32224;66415;;1;Андронова Элина
4;MKA GIRLS+1;1;2;32100;66921;;1;Петров Дмитрий
6;CRAZYTRAIN;2;2;32107;67329;;1;Шамаев Дмитрий
3;CEAT;3;2;32030;74107;;1;Кузнецов Антон
7;PHOENIX RT;4;2;32049;98188;;1;Басов Иван
2;PATYSSON;5;2;31979;98394;;1;Андронова Элина
4;MKA GIRLS+1;1;3;32100;99021;;1;Петров Дмитрий
6;CRAZYTRAIN;2;3;32105;99434;;1;Шамаев Дмитрий
3;CEAT;3;3;31719;105826;;1;Кузнецов Антон
5;RAVE STORM;6;1;32116;113912;;1;Тишков Павел
7;PHOENIX RT;4;3;33047;131235;LongLight;1;Басов Иван
4;MKA GIRLS+1;1;4;33420;132441;LongLight;1;Петров Дмитрий
2;PATYSSON;5;3;34231;132625;LongLight;1;Андронова Элина
6;CRAZYTRAIN;2;4;33857;133291;LongLight;1;Шамаев Дмитрий
8;MKA;7;1;32278;133867;;1;Томбасов Артем
3;CEAT;3;4;31988;137814;;1;Кузнецов Антон
1;MKA2;8;1;32275;144027;;1;Касьянов Алексей
5;RAVE STORM;6;2;32069;145981;;1;Тишков Павел
7;PHOENIX RT;4;4;32021;163256;;1;Басов Иван
2;PATYSSON;5;4;32126;164751;;1;Андронова Элина
4;MKA GIRLS+1;1;5;32799;165240;LongLight;1;Петров Дмитрий
6;CRAZYTRAIN;2;5;32305;165596;;1;Шамаев Дмитрий
8;MKA;7;2;32085;165952;;1;Томбасов Артем
3;CEAT;3;5;31813;169627;;1;Кузнецов Антон
1;MKA2;8;2;31909;175936;;1;Касьянов Алексей
5;RAVE STORM;6;3;32380;178361;;1;Тишков Павел
7;PHOENIX RT;4;5;31794;195050;;1;Басов Иван
2;PATYSSON;5;5;31809;196560;;1;Андронова Элина
4;MKA GIRLS+1;1;6;31735;196975;;1;Петров Дмитрий
8;MKA;7;3;32097;198049;;1;Томбасов Артем
6;CRAZYTRAIN;2;6;32731;198327;LongLight;1;Шамаев Дмитрий
3;CEAT;3;6;31780;201407;;1;Кузнецов Антон
1;MKA2;8;3;32103;208039;;1;Касьянов Алексей
5;RAVE STORM;6;4;31782;210143;;1;Тишков Павел
7;PHOENIX RT;4;6;31769;226819;;1;Басов Иван
2;PATYSSON;5;6;31520;228080;;1;Андронова Элина
4;MKA GIRLS+1;1;7;31646;228621;;1;Петров Дмитрий
8;MKA;7;4;31606;229655;;1;Томбасов Артем
6;CRAZYTRAIN;2;7;31865;230192;;1;Шамаев Дмитрий
3;CEAT;3;7;31708;233115;;1;Кузнецов Антон
1;MKA2;8;4;32007;240046;;1;Касьянов Алексей
5;RAVE STORM;6;5;31589;241732;;1;Тишков Павел
7;PHOENIX RT;4;7;31579;258398;;1;Басов Иван
2;PATYSSON;5;7;31877;259957;;1;Андронова Элина
4;MKA GIRLS+1;1;8;31598;260219;;1;Петров Дмитрий
8;MKA;7;5;31512;261167;;1;Томбасов Артем
6;CRAZYTRAIN;2;8;31912;262104;;1;Шамаев Дмитрий
3;CEAT;3;8;31582;264697;;1;Кузнецов Антон
1;MKA2;8;5;31728;271774;;1;Касьянов Алексей
5;RAVE STORM;6;6;31613;273345;;1;Тишков Павел
7;PHOENIX RT;4;8;31965;290363;;1;Басов Иван
2;PATYSSON;5;8;31580;291537;;1;Андронова Элина
4;MKA GIRLS+1;1;9;31683;291902;;1;Петров Дмитрий
8;MKA;7;6;31393;292560;;1;Томбасов Артем
6;CRAZYTRAIN;2;9;31952;294056;;1;Шамаев Дмитрий
3;CEAT;3;9;31439;296136;;1;Кузнецов Антон
1;MKA2;8;6;31820;303594;;1;Касьянов Алексей
5;RAVE STORM;6;7;31532;304877;;1;Тишков Павел
7;PHOENIX RT;4;9;31699;322062;;1;Басов Иван
2;PATYSSON;5;9;31354;322891;;1;Андронова Элина
4;MKA GIRLS+1;1;10;31979;323881;;1;Петров Дмитрий
8;MKA;7;7;31661;324221;;1;Томбасов Артем
6;CRAZYTRAIN;2;10;31840;325896;;1;Шамаев Дмитрий
3;CEAT;3;10;31497;327633;;1;Кузнецов Антон
1;MKA2;8;7;31665;335259;;1;Касьянов Алексей
5;RAVE STORM;6;8;31558;336435;;1;Тишков Павел
7;PHOENIX RT;4;10;31745;353807;;1;Басов Иван
2;PATYSSON;5;10;31396;354287;;1;Андронова Элина
4;MKA GIRLS+1;1;11;31636;355517;;1;Петров Дмитрий
8;MKA;7;8;31657;355878;;1;Томбасов Артем
6;CRAZYTRAIN;2;11;31867;357763;;1;Шамаев Дмитрий
3;CEAT;3;11;31485;359118;;1;Кузнецов Антон
1;MKA2;8;8;31688;366947;;1;Касьянов Алексей
5;RAVE STORM;6;9;31489;367924;;1;Тишков Павел
7;PHOENIX RT;4;11;31801;385608;;1;Басов Иван
2;PATYSSON;5;11;31630;385917;;1;Андронова Элина
4;MKA GIRLS+1;1;12;31476;386993;;1;Петров Дмитрий
8;MKA;7;9;31567;387445;;1;Томбасов Артем
6;CRAZYTRAIN;2;12;31792;389555;;1;Шамаев Дмитрий
3;CEAT;3;12;31422;390540;;1;Кузнецов Антон
1;MKA2;8;9;31629;398576;;1;Касьянов Алексей
5;RAVE STORM;6;10;31487;399411;;1;Тишков Павел
2;PATYSSON;4;12;31646;417563;;1;Андронова Элина
7;PHOENIX RT;5;12;32347;417955;LongLight;1;Басов Иван
4;MKA GIRLS+1;1;13;31584;418577;;1;Петров Дмитрий
8;MKA;7;10;31524;418969;;1;Томбасов Артем
6;CRAZYTRAIN;2;13;31977;421532;;1;Шамаев Дмитрий
3;CEAT;3;13;31461;422001;;1;Кузнецов Антон
1;MKA2;8;10;31728;430304;;1;Касьянов Алексей
5;RAVE STORM;6;11;31578;430989;;1;Тишков Павел
2;PATYSSON;4;13;31765;449328;;1;Андронова Элина
7;PHOENIX RT;5;13;31672;449627;;1;Басов Иван
8;MKA;7;11;31620;450589;;1;Томбасов Артем
4;MKA GIRLS+1;1;14;32387;450964;LongLight;1;Петров Дмитрий
3;CEAT;2;14;31861;453862;;1;Кузнецов Антон
6;CRAZYTRAIN;3;14;32724;454256;LongLight;1;Шамаев Дмитрий
1;MKA2;8;11;31651;461955;;1;Касьянов Алексей
5;RAVE STORM;6;12;31409;462398;;1;Тишков Павел
2;PATYSSON;4;14;31455;480783;;1;Андронова Элина
7;PHOENIX RT;5;14;31570;481197;;1;Басов Иван
8;MKA;7;12;31489;482078;;1;Томбасов Артем
4;MKA GIRLS+1;1;15;31649;482613;;1;Петров Дмитрий
3;CEAT;2;15;31329;485191;;1;Кузнецов Антон
6;CRAZYTRAIN;3;15;31796;486052;;1;Шамаев Дмитрий
1;MKA2;8;12;31532;493487;;1;Касьянов Алексей
5;RAVE STORM;6;13;31531;493929;;1;Тишков Павел
2;PATYSSON;4;15;31562;512345;;1;Андронова Элина
7;PHOENIX RT;5;15;31489;512686;;1;Басов Иван
8;MKA;7;13;31485;513563;;1;Томбасов Артем
4;MKA GIRLS+1;1;16;31520;514133;;1;Петров Дмитрий
3;CEAT;2;16;31395;516586;;1;Кузнецов Антон
6;CRAZYTRAIN;3;16;31904;517956;;1;Шамаев Дмитрий
1;MKA2;8;13;31502;524989;;1;Касьянов Алексей
5;RAVE STORM;6;14;31436;525365;;1;Тишков Павел
2;PATYSSON;4;16;31596;543941;;1;Андронова Элина
7;PHOENIX RT;5;16;31595;544281;;1;Басов Иван
8;MKA;7;14;31264;544827;;1;Томбасов Артем
4;MKA GIRLS+1;1;17;31530;545663;;1;Петров Дмитрий
3;CEAT;2;17;31539;548125;;1;Кузнецов Антон
6;CRAZYTRAIN;3;17;31732;549688;;1;Шамаев Дмитрий
1;MKA2;8;14;31560;556549;;1;Касьянов Алексей
5;RAVE STORM;6;15;31573;556938;;1;Тишков Павел
2;PATYSSON;4;17;31454;575395;;1;Андронова Элина
7;PHOENIX RT;5;17;31548;575829;;1;Басов Иван
8;MKA;7;15;31382;576209;;1;Томбасов Артем
4;MKA GIRLS+1;1;18;31472;577135;;1;Петров Дмитрий
3;CEAT;2;18;31610;579735;;1;Кузнецов Антон
6;CRAZYTRAIN;3;18;31714;581402;;1;Шамаев Дмитрий
1;MKA2;8;15;31854;588403;;1;Касьянов Алексей
5;RAVE STORM;6;16;31708;588646;;1;Тишков Павел
7;PHOENIX RT;4;18;31650;607479;;1;Басов Иван
2;PATYSSON;5;18;32307;607702;LongLight;1;Андронова Элина
8;MKA;7;16;31858;608067;LongLight;1;Томбасов Артем
4;MKA GIRLS+1;1;19;31620;608755;;1;Петров Дмитрий
3;CEAT;2;19;31464;611199;;1;Кузнецов Антон
6;CRAZYTRAIN;3;19;31809;613211;;1;Шамаев Дмитрий
5;RAVE STORM;6;17;31583;620229;;1;Тишков Павел
1;MKA2;8;16;32314;620717;LongLight;1;Касьянов Алексей
2;PATYSSON;4;19;31664;639366;;1;Андронова Элина
7;PHOENIX RT;5;19;32557;640036;LongLight;1;Басов Иван
8;MKA;7;17;32314;640381;LongLight;1;Томбасов Артем
4;MKA GIRLS+1;1;20;31976;640731;LongLight;1;Петров Дмитрий
3;CEAT;2;20;31314;642513;;1;Кузнецов Антон
6;CRAZYTRAIN;3;20;31628;644839;;1;Шамаев Дмитрий
5;RAVE STORM;6;18;31384;651613;;1;Тишков Павел
1;MKA2;8;17;31428;652145;;1;Касьянов Алексей
2;PATYSSON;4;20;31448;670814;;1;Андронова Элина
7;PHOENIX RT;5;20;31555;671591;;1;Басов Иван
8;MKA;7;18;31560;671941;;1;Томбасов Артем
4;MKA GIRLS+1;1;21;31652;672383;;1;Петров Дмитрий
3;CEAT;2;21;31357;673870;;1;Кузнецов Антон
6;CRAZYTRAIN;3;21;31758;676597;;1;Шамаев Дмитрий
5;RAVE STORM;6;19;31370;682983;;1;Тишков Павел
1;MKA2;8;18;31424;683569;;1;Касьянов Алексей
2;PATYSSON;4;21;31307;702121;;1;Андронова Элина
7;PHOENIX RT;5;21;31473;703064;;1;Басов Иван
8;MKA;7;19;31448;703389;;1;Томбасов Артем
